18:24:19.030 [sbt-bg-threads-1] INFO  DatacenterBroker - 0.10: DatacenterBrokerSimple2: Sending Cloudlet 53 to Vm 5 in Host 1/DC 1 with a requested delay of 93 seconds.
18:24:19.030 [sbt-bg-threads-1] INFO  DatacenterBroker - 0.10: DatacenterBrokerSimple2: Sending Cloudlet 54 to Vm 6 in Host 2/DC 1 with a requested delay of 34 seconds.
18:24:19.030 [sbt-bg-threads-1] INFO  DatacenterBroker - 0.10: DatacenterBrokerSimple2: Sending Cloudlet 55 to Vm 7 in Host 3/DC 1 with a requested delay of 97 seconds.
18:24:19.030 [sbt-bg-threads-1] INFO  DatacenterBroker - 0.10: DatacenterBrokerSimple2: Sending Cloudlet 56 to Vm 0 in Host 0/DC 1 with a requested delay of 13 seconds.
18:24:19.030 [sbt-bg-threads-1] INFO  DatacenterBroker - 0.10: DatacenterBrokerSimple2: Sending Cloudlet 57 to Vm 1 in Host 1/DC 1 with a requested delay of 16 seconds.
18:24:19.031 [sbt-bg-threads-1] INFO  DatacenterBroker - 0.10: DatacenterBrokerSimple2: Sending Cloudlet 58 to Vm 2 in Host 2/DC 1 with a requested delay of 81 seconds.
18:24:19.031 [sbt-bg-threads-1] INFO  DatacenterBroker - 0.10: DatacenterBrokerSimple2: Sending Cloudlet 59 to Vm 3 in Host 3/DC 1 with a requested delay of 36 seconds.
18:24:19.031 [sbt-bg-threads-1] INFO  DatacenterBroker - 0.10: DatacenterBrokerSimple2: Sending Cloudlet 60 to Vm 4 in Host 0/DC 1 with a requested delay of 86 seconds.
18:24:19.031 [sbt-bg-threads-1] INFO  DatacenterBroker - 0.10: DatacenterBrokerSimple2: Sending Cloudlet 61 to Vm 5 in Host 1/DC 1 with a requested delay of 95 seconds.
18:24:19.031 [sbt-bg-threads-1] INFO  DatacenterBroker - 0.10: DatacenterBrokerSimple2: Sending Cloudlet 62 to Vm 6 in Host 2/DC 1 with a requested delay of 42 seconds.
18:24:19.031 [sbt-bg-threads-1] INFO  DatacenterBroker - 0.10: DatacenterBrokerSimple2: Sending Cloudlet 63 to Vm 7 in Host 3/DC 1 with a requested delay of 98 seconds.
18:24:19.031 [sbt-bg-threads-1] INFO  DatacenterBroker - 0.10: DatacenterBrokerSimple2: Sending Cloudlet 64 to Vm 0 in Host 0/DC 1 with a requested delay of 6 seconds.
18:24:19.031 [sbt-bg-threads-1] INFO  DatacenterBroker - 0.10: DatacenterBrokerSimple2: Sending Cloudlet 65 to Vm 1 in Host 1/DC 1 with a requested delay of 36 seconds.
18:24:19.032 [sbt-bg-threads-1] INFO  DatacenterBroker - 0.10: DatacenterBrokerSimple2: Sending Cloudlet 66 to Vm 2 in Host 2/DC 1 with a requested delay of 27 seconds.
18:24:19.032 [sbt-bg-threads-1] INFO  DatacenterBroker - 0.10: DatacenterBrokerSimple2: Sending Cloudlet 67 to Vm 3 in Host 3/DC 1 with a requested delay of 26 seconds.
18:24:19.032 [sbt-bg-threads-1] INFO  DatacenterBroker - 0.10: DatacenterBrokerSimple2: Sending Cloudlet 68 to Vm 4 in Host 0/DC 1 with a requested delay of 50 seconds.
18:24:19.032 [sbt-bg-threads-1] INFO  DatacenterBroker - 0.10: DatacenterBrokerSimple2: Sending Cloudlet 69 to Vm 5 in Host 1/DC 1 with a requested delay of 42 seconds.
18:24:19.032 [sbt-bg-threads-1] INFO  DatacenterBroker - 0.10: DatacenterBrokerSimple2: Sending Cloudlet 70 to Vm 6 in Host 2/DC 1 with a requested delay of 67 seconds.
18:24:19.032 [sbt-bg-threads-1] INFO  DatacenterBroker - 0.10: DatacenterBrokerSimple2: Sending Cloudlet 71 to Vm 7 in Host 3/DC 1 with a requested delay of 66 seconds.
18:24:19.032 [sbt-bg-threads-1] INFO  DatacenterBroker - 0.10: DatacenterBrokerSimple2: Sending Cloudlet 72 to Vm 0 in Host 0/DC 1 with a requested delay of 89 seconds.
18:24:19.032 [sbt-bg-threads-1] INFO  DatacenterBroker - 0.10: DatacenterBrokerSimple2: Sending Cloudlet 73 to Vm 1 in Host 1/DC 1 with a requested delay of 57 seconds.
18:24:19.033 [sbt-bg-threads-1] INFO  DatacenterBroker - 0.10: DatacenterBrokerSimple2: Sending Cloudlet 74 to Vm 2 in Host 2/DC 1 with a requested delay of 99 seconds.
18:24:19.033 [sbt-bg-threads-1] INFO  DatacenterBroker - 0.10: DatacenterBrokerSimple2: Sending Cloudlet 75 to Vm 3 in Host 3/DC 1 with a requested delay of 60 seconds.
18:24:19.033 [sbt-bg-threads-1] INFO  DatacenterBroker - 0.10: DatacenterBrokerSimple2: Sending Cloudlet 76 to Vm 4 in Host 0/DC 1 with a requested delay of 77 seconds.
18:24:19.033 [sbt-bg-threads-1] INFO  DatacenterBroker - 0.10: DatacenterBrokerSimple2: Sending Cloudlet 77 to Vm 5 in Host 1/DC 1 with a requested delay of 90 seconds.
18:24:19.033 [sbt-bg-threads-1] INFO  DatacenterBroker - 0.10: DatacenterBrokerSimple2: Sending Cloudlet 78 to Vm 6 in Host 2/DC 1 with a requested delay of 77 seconds.
18:24:19.033 [sbt-bg-threads-1] INFO  DatacenterBroker - 0.10: DatacenterBrokerSimple2: Sending Cloudlet 79 to Vm 7 in Host 3/DC 1 with a requested delay of 61 seconds.
18:24:19.033 [sbt-bg-threads-1] INFO  DatacenterBroker - 0.10: DatacenterBrokerSimple2: Sending Cloudlet 80 to Vm 0 in Host 0/DC 1 with a requested delay of 50 seconds.
18:24:19.033 [sbt-bg-threads-1] INFO  DatacenterBroker - 0.10: DatacenterBrokerSimple2: Sending Cloudlet 81 to Vm 1 in Host 1/DC 1 with a requested delay of 43 seconds.
18:24:19.034 [sbt-bg-threads-1] INFO  DatacenterBroker - 0.10: DatacenterBrokerSimple2: Sending Cloudlet 82 to Vm 2 in Host 2/DC 1 with a requested delay of 77 seconds.
